content,score,at,sentiment,processed_content,review_length
Tolong gunakan ekspedisi yang jelas2 saja,5,2025-01-02 05:52:29,positive,tolong ekspedisi,41
terbaik,5,2025-01-02 05:45:43,positive,terbaik,7
Bermanfaat,5,2025-01-02 05:38:53,positive,bermanfaat,10
toko edia makin seru dapat bonus,5,2025-01-02 05:27:43,positive,toko edia seru bonu,32
"promonya banyak dan selalu amanah, sukses selalu 😍😍😍",5,2025-01-02 05:26:59,positive,promonya amanah suks 😍😍😍,52
Good,4,2025-01-02 05:16:34,positive,good,4
"murah,cepat, gratis ongkirnya banyak promo",4,2025-01-02 04:40:21,positive,murahcepat grati ongkirnya promo,42
oke mantap,5,2025-01-02 03:37:14,positive,oke mantap,10
"saya sebagai pengguna baru mau membeli barang secara cod tpi tiba"" dibatalkan secara otomatis . alasanya lokasi sama dgn pengguna lain . padahal serumah ga ada yg pakai apk ini . baru saya yg mau coba... tpi hasilnya ga ada guna apknya",1,2025-01-02 02:33:23,negative,pengguna memb barang cod tpi dibatalkan otomati alasanya lokasi dgn pengguna serumah ga yg pakai apk yg coba tpi hasilnya ga apknya,235
"Semoga tidak mengecewakan, aamin",5,2025-01-02 02:12:34,positive,semoga mengecewakan aamin,32
terbaik,5,2025-01-02 02:06:02,positive,terbaik,7
mantap pol,4,2025-01-02 01:22:51,positive,mantap pol,10
"aplikasi tokpedku udh aku update, tpi knapa tetep ga bisa dibuka dan tampilannya selalu harus diupdate , ada yg sama ga ? Tolong solusinya gimana",5,2025-01-02 01:09:05,positive,aplikasi tokpedku udh updat tpi knapa tetep ga dibuka tampilannya diupdat yg ga tolong solusinya gimana,145
Heh admin ini bagaimana cara milih metode penggalian barang yang retur. Soalnya kagak ada klik nya. Aneh banget nih apps.,1,2025-01-02 01:07:36,negative,heh admin milih metod penggalian barang retur kagak klik nya aneh banget nih app,121
Respon customer service nya lambat dan ribet,1,2025-01-02 00:45:18,negative,respon custom servic nya lambat ribet,44
"Seharusnya nasabah jago jadi prioritas pada promo dan gratis ongkir di tokopedia, niatnya buka bank jago biar dapat promo dan gratis ongkir di tokopedia tapi kenyataan sama aja kaya pembayaran yg lain",5,2025-01-02 00:42:20,positive,nasabah jago priorita promo grati ongkir tokopedia niatnya buka bank jago biar promo grati ongkir tokopedia kenyataan aja kaya pembayaran yg,200
Tokped tolong dong kurir rekomendasi dari J&T dihapus aja. Paket saya 3x dicolong kurir J&T,3,2025-01-02 00:22:03,neutral,tokp tolong kurir rekomendasi jt dihapu aja paket x dicolong kurir jt,91
"Buka web gadapet promo, suruh download apk, udah download apk gabisa cekout karna gabisa di akses android barang e Emang asu",1,2025-01-02 00:13:34,negative,buka web gadapet promo suruh download apk udah download apk gabisa cekout karna gabisa aks android barang e emang asu,124
ok banget,5,2025-01-01 23:59:48,positive,ok banget,9
Sangat membantu 👍,5,2025-01-01 23:57:51,positive,membantu 👍,17
mantap,5,2025-01-01 23:50:59,positive,mantap,6
mantap,5,2025-01-01 23:50:42,positive,mantap,6
"TRANSAKSI BAYAR LISTRIK DAN TAGIHAN LAIN, pakai Credit Card atau Go Pay Later, tiba2 dianggap manipulasi transksaksi. HALO?! Emang habis bayar PLN uangnya masuk ke rekeningku Pribadi? Emang lagi seneng cari masalah ini perusahaan!",1,2025-01-01 23:36:47,negative,transaksi bayar listrik tagihan pakai credit card go pay later dianggap manipulasi transksaksi halo emang habi bayar pln uangnya masuk rekeningku pribadi emang seneng cari perusahaan,230
Kenapa keluar screenshot terus?,5,2025-01-01 23:32:40,positive,screenshot,31
Pakai gratis ongkir datangnya lama sekali 🤣🤣,1,2025-01-01 23:27:00,negative,pakai grati ongkir datangnya 🤣🤣,44
love tokped showmuch,5,2025-01-01 23:08:57,positive,love tokp showmuch,20
top,4,2025-01-01 23:06:19,positive,top,3
Mantap,5,2025-01-01 22:58:34,positive,mantap,6
lebih bannyak diskon,5,2025-01-01 22:47:06,positive,bannyak diskon,20
Proses pengembalian dana sangat lama.,2,2025-01-01 22:41:42,negative,prose pengembalian dana,37
Blanja mudah & murah,5,2025-01-01 22:17:08,positive,blanja mudah murah,20
😔😔😔😔,5,2025-01-01 22:01:03,positive,😔😔😔😔,4
"banyak diskon suka bangettttttt, tapi pengiriman agak lama",5,2025-01-01 21:56:54,positive,diskon suka bangettttttt pengiriman,58
saya heran kepada pihak tokopedia karena fitur gopay later saya dinokaktifkan. padahal bayar lancar apalagi kalau nunggak. jadi sekarang beralih belanja di shopee aja. nanti kalau sudah lunas semua pasti saya uninstall aja.,1,2025-01-01 21:48:30,negative,heran tokopedia fitur gopay later dinokaktifkan bayar lancar nunggak beralih belanja shope aja luna uninstal aja,223
Sering kali mau buat akun masalah token pin tidak valid! mau gimana lagi gw uninstall apknya kenapa harus ribet👎,1,2025-01-01 21:36:54,negative,kali akun token pin valid gimana gw uninstal apknya ribet👎,112
Biar bintang yang bicara,5,2025-01-01 21:14:04,positive,biar bintang bicara,24
banyakin gratisan,4,2025-01-01 21:10:52,positive,banyakin gratisan,17
Bagus,5,2025-01-01 21:06:44,positive,bagu,5
Aplikasi terpercaya,5,2025-01-01 21:04:29,positive,aplikasi terpercaya,19
good,5,2025-01-01 20:49:11,positive,good,4
Semenjak update jadi susah klaim voucher diskon lg,3,2025-01-01 20:33:00,neutral,semenjak updat susah klaim voucher diskon lg,50
mantap,5,2025-01-01 20:29:09,positive,mantap,6
"Makin kesini, kerjasama lintas ekspedisi jasa kirim makin lelet, terutama pengiriman SAP Express",1,2025-01-01 20:27:34,negative,kesini kerjasama linta ekspedisi jasa kirim lelet pengiriman sap express,96
Sistem jelek sekarang Blokir chat di hilang Jne yes di hilangkan Diskusi produk di hilangkan Tolong kembali seperti dulu,1,2025-01-01 20:25:50,negative,sistem jelek blokir chat hilang jne ye hilangkan diskusi produk hilangkan tolong,120
sangett jelekk dan burukk sekali pelayanan nya.. apalagi masalah komplenan ke seller nya... tidak bisa menjaga nama baik dalam toko nya sendiri.. tidak Rekom bgttt baut saya.. saya tidak puas terhadap tokopedia !!!,1,2025-01-01 20:04:54,negative,sangett jelekk burukk pelayanan nya komplenan seller nya menjaga nama toko nya rekom bgttt baut pua tokopedia,214
mantab,5,2025-01-01 19:53:37,positive,mantab,6
Bagus,5,2025-01-01 19:43:19,positive,bagu,5
Harga murah cm satu kali. Kecewa karena pesanan sering di batalkan sistem. Padahal sdh di transfer Bukan cod.,1,2025-01-01 19:38:53,negative,harga murah cm kali kecewa pesanan batalkan sistem sdh transfer cod,109
mantap,5,2025-01-01 19:30:56,positive,mantap,6
bagus,5,2025-01-01 19:26:50,positive,bagu,5
Mantapp.. Bagus,4,2025-01-01 19:20:38,positive,mantapp bagu,15
SAYA MITRA TOKOPEDIA JUGA DRIVER GOJEK BIKE TRENGGALEK JAWA TIMUR,5,2025-01-01 19:19:29,positive,mitra tokopedia driver gojek bike trenggalek jawa timur,65
mudah di akses,5,2025-01-01 19:19:22,positive,mudah aks,14
wooow promonya gila,5,2025-01-01 19:12:26,positive,wooow promonya gila,19
"Maaf tolong di respon ya, kenapa pay leter saya ga bisa di gunakan, padahal limit masih banyak, sy bayar tepat waktu, mohon dijawab ya, ini untuk kejelasan semua konsumen Tokopedia.",3,2025-01-01 18:52:33,neutral,maaf tolong respon ya pay leter ga limit sy bayar mohon ya kejelasan konsumen tokopedia,181
tokopedia top,5,2025-01-01 18:44:23,positive,tokopedia top,13
"Akun tiba2 ga bisa pake vocher gara2 ganti no hp, mau ngehubungin cs muter2 ribet",1,2025-01-01 18:38:30,negative,akun ga pake vocher gara ganti no hp ngehubungin cs muter ribet,81
Je,4,2025-01-01 18:28:48,positive,je,2
"Lebih pantas namanya TokoKikir, masa gak ada diskon sama sekali",1,2025-01-01 18:22:45,negative,namanya tokokikir gak diskon,63
ribet blanja disini,2,2025-01-01 18:21:58,negative,ribet blanja,19
good,5,2025-01-01 18:20:08,positive,good,4
"Diskon 1.1 2025 mengecewakan, mencret wkwkw",1,2025-01-01 18:17:21,negative,diskon mengecewakan mencret wkwkw,43
Sangat memuaskan,5,2025-01-01 18:16:17,positive,memuaskan,16
Ongkir nya mahal,1,2025-01-01 18:11:24,negative,ongkir nya mahal,16
"Karena belum pernah dikecewakan tokopedia, jadi sampai saat ini aku masih setia.",5,2025-01-01 17:53:03,positive,dikecewakan tokopedia setia,80
Awal awal pas saya mau pilih metode pembayaran masih bisa terus ke 2 kalinya sampe ke 5 kalinya saya pencet' gabisa padahal sinyal saya bagus ga lemot saya uninstall semoga kedepannya lebih baik lagi,2,2025-01-01 17:51:38,negative,pa pilih metod pembayaran kalinya samp kalinya pencet gabisa sinyal bagu ga lemot uninstal semoga kedepannya,199
mantabbb josss,5,2025-01-01 17:32:45,positive,mantabbb josss,14
keren ..banyakin promo terus potongan Harga juga !!,5,2025-01-01 17:01:48,positive,keren banyakin promo potongan harga,51
ok banget,5,2025-01-01 16:26:13,positive,ok banget,9
"sangat mudah membayar tagihan listrik dan air bersamaan , hemat biaya adm",5,2025-01-01 16:20:54,positive,mudah membayar tagihan listrik air bersamaan hemat biaya adm,73
Haii tokped.. mengapa untuk pembayaran di akun saya opsi gopaylater tidak Ada? sedang kan di menu akun saya aktif paylater limit hingga 7jta. apa yg salah dengan akun gopaylater saya?,5,2025-01-01 16:17:01,positive,haii tokp pembayaran akun opsi gopaylat menu akun aktif paylat limit jta yg salah akun gopaylat,183
memuaskan,5,2025-01-01 16:16:44,positive,memuaskan,9
"E-commerce yg hanya di peruntukan bagi orang yang tinggal di pulau jawab dan sekitar, diluar Jawa jangan harap, ongkir nya bisa melebihi 2-3x harga barang 😅, iseng2 download lg setelah 2 tahun ternyata blm terlalu mencakup wilayah luas, padahal medan termasuk kota besar tapi untuk gudang (dilayani oleh Tokopedia) tidak pernah atau jarang tersedia. Balik ke oren lagi 😃",2,2025-01-01 16:09:34,negative,ecommerc yg peruntukan orang tinggal pulau diluar jawa harap ongkir nya melebihi x harga barang 😅 iseng download lg blm mencakup wilayah lua medan kota gudang dilayani tokopedia jarang tersedia oren 😃,370
aplikasinya bagus sekali kalian harus download ini,5,2025-01-01 16:02:20,positive,aplikasinya bagu download,50
Bagus,4,2025-01-01 15:59:13,positive,bagu,5
"Sudah 2 kali ini update tapi tanggal toko bergabung tidak ditampilkan. Padahal itu penting buat saya untuk mengetahui toko itu benar atau nipu 😴. Kembalikan lagi menu profil toko yang ada tanggal bergabungnya, nanti penilaian bintang saya ganti",2,2025-01-01 15:44:25,negative,kali updat tanggal toko bergabung ditampilkan toko nipu 😴 kembalikan menu profil toko tanggal bergabungnya penilaian bintang ganti,244
Mantap,5,2025-01-01 15:44:24,positive,mantap,6
Bisanya setiap bulan selalu dpt diskon 30% tapi sekarang udah enggak 🙃🥺😂.,3,2025-01-01 15:36:16,neutral,bisanya dpt diskon udah 🙃🥺😂,73
Keren terpecaya,5,2025-01-01 15:33:18,positive,keren terpecaya,15
bikin kapok berbelanja ditokopedia pengirimana nya lama bnr...ga kaya dishopi cepet pengiriman nya..ni aj pesenan barang dishopi kemarin udh mau dtng barang ya klh ditoko pedia lama bnr,1,2025-01-01 15:30:34,negative,bikin kapok berbelanja ditokopedia pengirimana nya bnrga kaya dishopi cepet pengiriman nyani aj pesenan barang dishopi kemarin udh dtng barang ya klh ditoko pedia bnr,185
"respon cepat,,, untuk metode pembayaran via ovo belum bisa diakses",4,2025-01-01 15:15:57,positive,respon cepat metod pembayaran via ovo diaks,66
Lebih ditingkatkan lagi pembelian dan penjualan,5,2025-01-01 15:00:40,positive,ditingkatkan pembelian penjualan,47
No comment,5,2025-01-01 14:58:11,positive,no comment,10
"Enak banget belanja di toko pedia, simple",5,2025-01-01 14:57:55,positive,enak banget belanja toko pedia simpl,41
"Aplikasi apa....ini ? Marketplace gak ada diskon apa-apa. Entah saat event tgl bln kembar, maupun thn baru 2025 gak ada sama srkali diskon-diskon nya.",1,2025-01-01 14:56:25,negative,aplikasi apaini marketplac gak diskon apaapa event tgl bln kembar thn gak srkali diskondiskon nya,150
Masa saya udah pesan trz udah bayar g da penjelasanya trz hilang pesanan saya apa2 n ini tokopedia,1,2025-01-01 14:32:08,negative,udah pesan trz udah bayar g da penjelasanya trz hilang pesanan n tokopedia,98
mantap dan cepat,5,2025-01-01 14:25:03,positive,mantap cepat,16
"Kenapa pembeli yang bener salah, penjual harus tanggung jawab",1,2025-01-01 14:19:28,negative,pemb bener salah penjual tanggung,61
mudah dan aman,5,2025-01-01 14:14:52,positive,mudah aman,14
"App makin lemot banget, padahal penyimpanan HP masih 50GB+ ,ram masih banyak. Promo voucer diskon gimmick. Pas mau cekout harganya berubah sial",1,2025-01-01 14:12:17,negative,app lemot banget penyimpanan hp gb ram promo voucer diskon gimmick pa cekout harganya berubah sial,143
Sangat bagus,5,2025-01-01 14:03:41,positive,bagu,12
JANGAN KESERINGAN MINTA UPDATE DONG!,1,2025-01-01 13:50:21,negative,keseringan updat,36
kalo ada promo murah belinya ga bisa lebih dr 1.,5,2025-01-01 13:36:42,positive,kalo promo murah belinya ga dr,48
sayangnya gratis ongkir tidak bisa pilih expedisi kesayangan,3,2025-01-01 13:33:50,neutral,sayangnya grati ongkir pilih expedisi kesayangan,60
TIDAK BISA BLOCK ORANG YANG MENGGANGGU MASA MESTI LAPORIN TERUS TIAP ADA SPAM,1,2025-01-01 13:23:42,negative,block orang mengganggu mesti laporin spam,77
"aman,mudah,murah",5,2025-01-01 13:19:12,positive,amanmudahmurah,16
"Update terus, pelayanan lemot, ongkir mahal.",1,2025-01-01 13:12:48,negative,updat pelayanan lemot ongkir mahal,44
aplikasi belanja online mantap,5,2025-01-01 12:54:54,positive,aplikasi belanja onlin mantap,30
"Udah bangkrut tokopedia gak berani ngasih diskon gede gak kayak apk orange...... udah gak usah malu dibaca banyak orang disini, ini penilaian yg jujur kok? Ngapain juga lewat tokopedia care,",1,2025-01-01 12:54:39,negative,udah bangkrut tokopedia gak berani ngasih diskon gede gak kayak apk orang udah gak malu dibaca orang penilaian yg jujur ngapain tokopedia care,190
semuanya okk.,5,2025-01-01 12:43:24,positive,okk,13
"min mana ko kaga ada lagi Gratis ongkirnya ,, tahun baru malah HILANG NIE GRATIS ONGKIR NYA",2,2025-01-01 12:33:39,negative,min ko kaga grati ongkirnya hilang nie grati ongkir nya,91
"terlalu sering update, makin risih aja",2,2025-01-01 12:25:30,negative,updat risih aja,38
Bagus,5,2025-01-01 12:11:49,positive,bagu,5
ok,5,2025-01-01 12:08:51,positive,ok,2
ok,4,2025-01-01 11:52:35,positive,ok,2
"Cs paling tolol ya cs tokopedia & gojek. Yg jawab bot, klo minta yg jawab orang sampe sejam lebih baru dijawab",1,2025-01-01 11:38:09,negative,cs tolol ya cs tokopedia gojek yg bot klo yg orang samp sejam,110
sangat membantu,5,2025-01-01 11:35:13,positive,membantu,15
Bagaimana cara top up saldo refund biar bisa ditarik,1,2025-01-01 11:28:27,negative,top up saldo refund biar ditarik,52
coba dulu...baru makai,4,2025-01-01 10:33:45,positive,coba dulubaru makai,22
"Pesanan dibatalkan pdhl sy sdh byr... Trs uang sy kmn? Pengembalian dana ribet bgt, ga jelas... Lgsg uninstall aja... Amal di awal tahun..",1,2025-01-01 10:32:20,negative,pesanan dibatalkan pdhl sy sdh byr tr uang sy kmn pengembalian dana ribet bgt ga lgsg uninstal aja amal,138
Terlalu banyak iklan maaf,1,2025-01-01 10:16:11,negative,iklan maaf,25
Matikan jasa ekspedisi JNE.,1,2025-01-01 10:15:58,negative,matikan jasa ekspedisi jne,27
"Si paling pelit diskon, si paling sedikit promo, si paling gaje soal EKPEDISI, PAKET LEMPAR SONO LEMPAR SINI MOLORR JADINYE.. Kurir Rekomendasi Apa'an kek gitu,.. Terus yg bikin gw tmbh kesel waktu voucher pas di klaim bilangnya KUOTA UDAH HABIS, PADAHAL MASIH SISA 100% alias masih tersedia, ini sebenernye NIAT NGASIH APA ENGGA SIH.. BUAT DEVELOPER LU COBA LIHAT KOMPETITOR YANG LAIN DEH COBA'. Lu Harus Tiru. JANGAN PELIT2 PROMO Ame DISKON, NTAR CUSTOMER LU PADA PINDAH, NGERTI..?!! 😑😬",1,2025-01-01 10:05:49,negative,si pelit diskon si promo si gaje ekpedisi paket lempar sono lempar molorr jadiny kurir rekomendasi kek gitu yg bikin gw tmbh kesel voucher pa klaim bilangnya kuota udah habi sisa alia tersedia sebenerny niat ngasih engga sih develop lu coba lihat kompetitor deh coba lu tiru pelit promo ame diskon ntar custom lu pindah ngerti 😑😬,488
Mantap,5,2025-01-01 09:59:43,positive,mantap,6
"Tokopedia gak jelas, udah di upgrade berulang2, masa masih 1212 aja.. Gak jelass banget.. Udah pengiriman nya lama bangett,, duuuh ampun daah",3,2025-01-01 09:58:59,neutral,tokopedia gak udah upgrad berulang aja gak jelass banget udah pengiriman nya bangett duuuh ampun daah,141
"Menurutku aplikasi nya udah bagus bgt sama ada diskon nya,tp saya minta untuk menambahkan fitur gratis ongkir ya",5,2025-01-01 09:57:48,positive,menurutku aplikasi nya udah bagu bgt diskon nyatp fitur grati ongkir ya,112
Butuh search by AI. jadi search toko yg jual perlengkapan pizza nongol toko nya. Jadi ga usah beda beda toko.,2,2025-01-01 09:47:20,negative,butuh search by ai search toko yg jual perlengkapan pizza nongol toko nya ga beda beda toko,109
Tolong CS nya lebih responsif dan memberi saran sesuai kebutuhan yang di inginkan,1,2025-01-01 09:37:32,negative,tolong cs nya responsif saran sesuai kebutuhan,81
Mantap,5,2025-01-01 09:37:20,positive,mantap,6
Aplikasinya gak ribet dan sangat mudah digunakan.,5,2025-01-01 09:24:42,positive,aplikasinya gak ribet mudah,49
blum pernah kecewa blnja di toko pedia,4,2025-01-01 09:23:47,positive,blum kecewa blnja toko pedia,38
"Tambah jelek aja toped habis update ga ada kolom pertanyaan, langsung di arahkan ke chat seller, membuat nyaman seller barang ilegal ini,",1,2025-01-01 09:21:20,negative,jelek aja tope habi updat ga kolom langsung arahkan chat seller nyaman seller barang ileg,137
bagusss..banyak sekali diskonnyaaa,5,2025-01-01 09:20:45,positive,bagusssbanyak diskonnyaaa,34
Aplikasi shoping termantap dari pada toko oren,5,2025-01-01 09:14:32,positive,aplikasi shope termantap toko oren,46
Keren,5,2025-01-01 09:04:22,positive,keren,5
duwitku ilang,1,2025-01-01 08:37:05,negative,duwitku ilang,13
Memudahkan kaum mager,5,2025-01-01 08:30:05,positive,memudahkan kaum mager,21
"saya pengguna baru dpt gratis makasih Toped, dan sekarang setiap cekout harga beruba ubah menjadi naik dan naik (1/1/25)",5,2025-01-01 08:25:03,positive,pengguna dpt grati makasih tope cekout harga beruba ubah,120
"Tampilan nya sangat membosankan, mau CO juga ribet COD nya mahal bet njirr, harus bayar dulu klo mau murah 😑, padahal buatan Indonesia tapi barang klo COD pasti mahal, beda sama toko Oren walaupun COD pasti murah😅",1,2025-01-01 08:21:46,negative,tampilan nya membosankan co ribet cod nya mahal bet njirr bayar klo murah 😑 buatan indonesia barang klo cod mahal beda toko oren cod murah😅,213
keren,5,2025-01-01 08:12:57,positive,keren,5
mantap apk 1 ini Gan,5,2025-01-01 08:05:18,positive,mantap apk gan,20
"Kecewa parah si,, ada voucher promo tapi gak bisa digabung sm gratis ongkir. Setiap transaksi ada biaya layanan + biaya jasa aplikasi. Sorry pindah ke Blibli dehh.. banyak promo, pengiriman juga cepet bgtt.",4,2025-01-01 07:56:31,positive,kecewa parah si voucher promo gak digabung sm grati ongkir transaksi biaya layanan biaya jasa aplikasi sorri pindah blibli dehh promo pengiriman cepet bgtt,206
Udah pelit promo sekarang nggk kaya toko sebelah promo nya banyak,1,2025-01-01 07:32:43,negative,udah pelit promo nggk kaya toko sebelah promo nya,65
keren,5,2025-01-01 07:22:18,positive,keren,5
Gara aplikasi ini WhatsApp gw gk bsa di buka 😡😡😡😡😡😡😡😡,1,2025-01-01 06:52:31,negative,gara aplikasi whatsapp gw gk bsa buka 😡😡😡😡😡😡😡😡,53
Terimakasih.....,5,2025-01-01 06:51:20,positive,terimakasih,16
sangat cocok,5,2025-01-01 06:42:18,positive,cocok,12
"jujur saya kecewa dg apk ini,bagian alamat tdk dapat diganti spt e-commers yg lain hrs dibatalkan terlebih dahulu. selain itu juga seller sgt tdk fast rspn jika dihubungi,bahkan bisa 2 hari kemudian baru diabalas",2,2025-01-01 06:17:47,negative,jujur kecewa dg apk inibagian alamat tdk diganti spt ecomm yg hr dibatalkan seller sgt tdk fast rspn dihubungibahkan diabala,212
Sangat kecewa dengan sistem Tokopedia order barang sudah di prosese 2 hari..gak taunya di batalkan oleh sistem sangat sangat kecewa sudah 2 klu saya order di topet di batalkan begituan saja👎👎,2,2025-01-01 06:14:02,negative,kecewa sistem tokopedia order barang proses harigak taunya batalkan sistem kecewa klu order topet batalkan begituan saja👎👎,191
"Belanja jdi lebih mudah ,dan terpercaya. ..",5,2025-01-01 06:02:34,positive,belanja jdi mudah terpercaya,43
"hati2 si kalo belanja disini, tokonya bnyak yg g update stock. udah gtu ketika kita terlanjur beli barang dan akhirnya dibatalkan oleh kita maupun penjual, dana refund nya masuk lama banget cuy, gw ad transaksi 8 Des, pengembalian dana dijanjikan 14 hari kerja drngan estimasi awal mereka 27 Des, kemudian mreka ubah ke 30 Des, tapi smpe sekarang dana nya engga cair2. penyelesaian via chat? ke toko udh w complain disampaikan sruh ke tokped nya, parah dh mending mikir lagi pake aplikasi ini.",1,2025-01-01 05:57:04,negative,hati si kalo belanja tokonya bnyak yg g updat stock udah gtu terlanjur beli barang dibatalkan penjual dana refund nya masuk banget cuy gw ad transaksi de pengembalian dana dijanjikan kerja drngan estimasi de mreka ubah de smpe dana nya engga cair penyelesaian via chat toko udh w complain sruh tokp nya parah dh mend mikir pake aplikasi,493
nice,5,2025-01-01 05:25:14,positive,nice,4
"Kenapa sekarang tidak bisa split payment lagi, tolong dong diberlakukan kembali split payment, pembayaran kartu kredit bisa digabung dengan gopay/saldo Tokopedia.",4,2025-01-01 05:22:53,positive,split payment tolong diberlakukan split payment pembayaran kartu kredit digabung gopaysaldo tokopedia,162
ok,5,2025-01-01 05:14:56,positive,ok,2
mantap,5,2025-01-01 04:46:29,positive,mantap,6
coba lagi moga berhasil,4,2025-01-01 04:26:04,positive,coba moga berhasil,23
"Jujur saya pengguna tokopedia sudah lama, Saya pengguna Gopinjam juga. Namun Makin sini, tidak ada kemajuan untuk membantu customer. Malah daya lihat fiturnya makin aneh dan makin mencekik. Pokoknya saya kecewa berat dengan perubahan yang signifikan dari fitur tokopedia yang khususnya gopinjam, yang berubah total sistemnya.",1,2025-01-01 03:31:01,negative,jujur pengguna tokopedia pengguna gopinjam kemajuan membantu custom daya lihat fiturnya aneh mencekik pokoknya kecewa berat perubahan signifikan fitur tokopedia gopinjam berubah total sistemnya,325
"Payah ganti nomor tidak aktif tidak bisa, sudah 2x kirim data yang sama tetep tidak bisa",1,2025-01-01 02:46:04,negative,payah ganti nomor aktif x kirim data tetep,88
Aplikasi yang bagus. Sangat membantu♥️,5,2025-01-01 01:59:48,positive,aplikasi bagu membantu♥️,38
Pihak tokped harus jeli melihat setiap permasalahan. Banyak penjual yg dengan sengaja menjual barang yg tidak layak pakai. Dengan dalih barang tsb bagus . Dan tidak mau di komplen . Harus nya pihak tokped bisa memblokir para penjual yg tidak jujur ini supaya tidak berimbas ke penjual yg bner2 mau jualan disini .,3,2025-01-01 01:30:19,neutral,tokp jeli permasalahan penjual yg sengaja menjual barang yg layak pakai dalih barang tsb bagu komplen nya tokp memblokir penjual yg jujur berimba penjual yg bner jualan,313
Tokopedia banyak org ngebobol akun dana org. Dana gw 1juta ngilang membayar yg gw kaga pernah beli. Ajing,1,2025-01-01 01:29:57,negative,tokopedia org ngebobol akun dana org dana gw juta ngilang membayar yg gw kaga beli aje,105
Barang bagus dan terpercaya,5,2025-01-01 00:52:26,positive,barang bagu terpercaya,27
Saya beli stick 114rb awal bagus tapi belum sampe sehari udah rusak udah gitu akhirnya di benerin eh malah rusak lagi belum sehari juga,1,2025-01-01 00:42:52,negative,beli stick rb bagu samp sehari udah rusak udah gitu benerin eh rusak sehari,135
"alangkah baiknya ada rating untuk kurir, karna semua kurir tokped di daerah saya bad atittude, tak jarang barang hilang",1,2025-01-01 00:24:47,negative,alangkah baiknya rate kurir karna kurir tokp daerah bad atittud jarang barang hilang,119
"Kecewa bgt, krn kalau beli dari sini paketnya nyasar terus, lama Saya beli paket sdh diterima padhl blm ad paketnya sampai kesaya",1,2025-01-01 00:21:42,negative,kecewa bgt krn beli paketnya nyasar beli paket sdh diterima padhl blm ad paketnya kesaya,129
"Bagus,tetapi ketika scrol2 produk trus di pencet produk nya,trus keluar,malah muat ulang,jdinya ga bisa liat barang yg di bawahnya lgi,dulu ga gili lo",4,2025-01-01 00:21:00,positive,bagustetapi scrol produk tru pencet produk nyatru keluarmalah muat ulangjdinya ga liat barang yg bawahnya lgidulu ga gili lo,150
jas kiding,5,2024-12-31 23:49:20,positive,ja kide,10
Harga Lebih mahal dari yang lain,1,2024-12-31 23:48:54,negative,harga mahal,32
game pada toped hilang?,1,2024-12-31 23:35:03,negative,game tope hilang,23
Mantap pengiriman cepat Tampa ada kendala / adanya gagal pengiriman sekian kali pesan paket mantap terus perkembangan apk ini,5,2024-12-31 23:30:18,positive,mantap pengiriman cepat tampa kendala gagal pengiriman sekian kali pesan paket mantap perkembangan apk,125
Taikk aplikasi ampas buat pin aja ga bisa,1,2024-12-31 22:56:59,negative,taikk aplikasi ampa pin aja ga,41
ok joss,5,2024-12-31 22:53:50,positive,ok joss,7
"Saya secara pribadi lebih suka Tokopedia dibandingkan aplikasi online lainnya karena pencarian nya lebih spesifik sesuai dengan yang di ketik. Itu yg membedakan Tokopedia dari yg lainnya. Tapi, kenapa ini kok belakangan malah jadi kayak shopee? Hasil pencarian nya jadi menampilkan banyak banget hasil yg ngak sesuai kata kunci yg diketik?",1,2024-12-31 22:20:34,negative,pribadi suka tokopedia dibandingkan aplikasi onlin pencarian nya spesifik sesuai ketik yg membedakan tokopedia yg kayak shope hasil pencarian nya menampilkan banget hasil yg ngak sesuai kunci yg diketik,339
bagus,5,2024-12-31 22:19:10,positive,bagu,5
terlalu banyak kendala contohnya gx bisa pilih metode pembayaran,1,2024-12-31 22:09:29,negative,kendala contohnya gx pilih metod pembayaran,64
bagus,5,2024-12-31 21:57:19,positive,bagu,5
Cod nya,5,2024-12-31 21:52:21,positive,cod nya,7
Semoga mungkin sukses pertahankan kan,5,2024-12-31 21:51:44,positive,semoga suks pertahankan,37
"Udah dua kali instal aplikasi ini tapi kecewa juga dengan aplkasi.pasal a yng pertama dengan nggk tau saya pesan varang tiba tiba sistem membatalkan padahal udah saya tf uang a alhasil hadi ribet.yng kedua barang yng di kirim lama udah gitu barang nggak sesuai lagi.lain dengan aplikasi sebelah si orane,yng slalu mempeioritas kan kwalitas dan juga bagus pelayanan a",1,2024-12-31 21:49:53,negative,udah kali instal aplikasi kecewa aplkasipas a yng nggk tau pesan varang sistem membatalkan udah tf uang a alhasil hadi ribetyng barang yng kirim udah gitu barang nggak sesuai lagilain aplikasi sebelah si oraneyng slalu mempeiorita kwalita bagu pelayanan a,366
pemberian solusi terhadap paket yang terlambat datang tidak efektif,1,2024-12-31 21:42:19,negative,pemberian solusi paket terlambat efektif,67
diperbarui ke versi terbaru malah ga bisa kasih foto ulasan....malah dibilang ga ada jaringan internet....payah bener nih tokopedia fitur pesan nya jadi ga bisa dihapus....gmn sih....balikin lagi fitur hapus pesannya...payah tokped,1,2024-12-31 20:55:54,negative,diperbarui versi terbaru ga kasih foto ulasanmalah dibilang ga jaringan internetpayah bener nih tokopedia fitur pesan nya ga dihapusgmn sihbalikin fitur hapu pesannyapayah tokp,231
