content,score,at,sentiment,processed_content
respon Tokopedia sangat cepat,5,2025-01-06 21:11:38,positive,respon tokopedia cepat
okeh sekali,5,2025-01-06 21:11:30,positive,okeh
Aplikasi penipuan pengguna baru malah saldo kepotong hilang barang nggak sampai... Pesanan dibatalkan sistem....apa apaan ini?,1,2025-01-06 20:53:04,negative,aplikasi penipuan pengguna saldo kepotong hilang barang nggak pesanan dibatalkan sistemapa
"Ok,,,makasih",5,2025-01-06 20:48:00,positive,okmakasih
sangat membantu,5,2025-01-06 20:24:43,positive,membantu
mantap,5,2025-01-06 20:23:37,positive,mantap
good,5,2025-01-06 20:11:11,positive,good
Sangattt lambattt pengirimannnn,1,2025-01-06 20:01:56,negative,sangattt lambattt pengirimannnn
"Sekarang Layanan Bayar Offline Lewat Gerai Seperti Alfamidi Dan Lainnya Kenapa Tidak Bisa?? Saya Harap Segera Di Perbaiki Masalah Ini, Terimakasih",5,2025-01-06 19:41:19,positive,layanan bayar offlin gerai alfamidi harap perbaiki terimakasih
Ngajuin paylater blom ada 10 detik auto di tolak...,1,2025-01-06 19:39:42,negative,ngajuin paylat blom detik auto tolak
"Checkout di suruh verifikasi,tapi otp verifikasi ga ada masuuk sama sekali",2,2025-01-06 19:34:47,negative,checkout suruh verifikasitapi otp verifikasi ga masuuk
sangat bagus,5,2025-01-06 19:28:22,positive,bagu
Semakin Lama semakin ancur. Kata Pencarian A yang kuar xyz.. Jah banget. Kalau carinya A keluar B itu mending . Lha ini Cari A keluar xyz jauh..... bos. Tampilkan aja yang ada. Fitur filter di pencarian. Ga manfaat sama sekali. Hanya mempengeruh suasana. Moga di baca yang punya toped.,1,2025-01-06 19:23:11,negative,ancur pencarian a kuar xyz jah banget carinya a b mend lha cari a xyz bo tampilkan aja fitur filter pencarian ga manfaat mempengeruh suasana moga baca tope
buruk lemot,1,2025-01-06 19:16:53,negative,buruk lemot
"udah 3 kali pesanan dibatalin secara otomatis sama Tokopedia bikin kesel. daftar pengguna baru juga cuma dapet gratis ongkir doang gak dapet diskon, padahal ada tulisan khusus pengguna baru tapi harganya yaa segitu² aja gk turun. jelek ~~ tgl 6 Januari 2025 lgi² pesanan gw dibatalin oleh sistem arghh, minimal klo dibatalin jgn cuman duitnya doang dong yg dikembaliin tpi voucher² nya juga dibalikin. mana tu tote bag buat tanggal 11 lgi huhh. dahlah udh kecewa bgt gw sama ni apk.",1,2025-01-06 19:14:26,negative,udah kali pesanan dibatalin otomati tokopedia bikin kesel daftar pengguna dapet grati ongkir doang gak dapet diskon tulisan khusu pengguna harganya yaa segitu² aja gk turun jelek tgl januari lgi² pesanan gw dibatalin sistem arghh minim klo dibatalin jgn cuman duitnya doang yg dikembaliin tpi voucher² nya dibalikin tu tote bag tanggal lgi huhh dahlah udh kecewa bgt gw ni apk
siiiipppp,5,2025-01-06 19:13:22,positive,siiiipppp
belanja puas harga pas di kantong,5,2025-01-06 19:11:14,positive,belanja pua harga pa kantong
sangat memuaskan,5,2025-01-06 19:08:37,positive,memuaskan
Tokopedia care nya parah bangetttt Niatnya mau tanya hal penting sama cs ehh malah ga nyambung² mending cs apk lainnya responnya cepet,1,2025-01-06 19:01:38,negative,tokopedia care nya parah bangetttt niatnya cs ehh ga nyambung² mend cs apk responnya cepet
Min kenapa klo harganya murah ga bisa cod? apk sebelah aja bisa cod harga berapun,2,2025-01-06 19:01:07,negative,min klo harganya murah ga cod apk sebelah aja cod harga berapun
memuaskan,5,2025-01-06 18:49:35,positive,memuaskan
"aplikasi kaga jelas, dikit dikit di batalin sistem aneh",1,2025-01-06 18:42:59,negative,aplikasi kaga dikit dikit batalin sistem aneh
Good,5,2025-01-06 18:35:14,positive,good
"Kenapa ga bisa beli di 1 toko lebih dari 400 pcs min, biar apa coba ?",2,2025-01-06 18:34:46,negative,ga beli toko pc min biar coba
mantapp,5,2025-01-06 18:20:00,positive,mantapp
mantap,5,2025-01-06 18:18:41,positive,mantap
bagusss,5,2025-01-06 18:16:44,positive,bagusss
bagussss,5,2025-01-06 18:07:58,positive,bagussss
Kecewa banget baru pertama kali beli di Tokopedia ehhh seleranya bilang barang gak ada klo emng barangnya gak ada jangan di pajang dong😭,1,2025-01-06 18:05:50,negative,kecewa banget kali beli tokopedia ehhh seleranya bilang barang gak klo emng barangnya gak pajang dong😭
"payah,2 kali pembelian dibatalkan sistem terus sampai voucher hilang semua",1,2025-01-06 18:02:08,negative,payah kali pembelian dibatalkan sistem voucher hilang
"langanan plus sekarang ga kaya 2024 belanja di 5 toko berbeda ongkir tetep bayar, jadi sayang dah perbarui langganan plus -_-",5,2025-01-06 17:51:55,positive,langanan plu ga kaya belanja toko berbeda ongkir tetep bayar sayang dah perbarui langganan plu
"Pengajuan pengembalian barang ribet banget, admin Tokopedia lebih condong ke penjual , jadi males beli barang di tokopedia , klo ada barang bermasalah percuma ngajuin komplain",1,2025-01-06 17:50:14,negative,pengajuan pengembalian barang ribet banget admin tokopedia condong penjual male beli barang tokopedia klo barang bermasalah ngajuin komplain
Pelayanan customer care buruk dan tidak bisa membantu user yang sedang kesulitan untuk verifikasi data,1,2025-01-06 17:19:54,negative,pelayanan custom care buruk membantu user kesulitan verifikasi data
"TOLONG HAPUS EKSPEDISI JNE, PENGIRIMAN LAMA GA BECUS, GA SAMPAI SAMPAI",1,2025-01-06 17:17:46,negative,tolong hapu ekspedisi jne pengiriman ga becu ga
sangat membantu.. banyak harga terjangkau..😍,4,2025-01-06 17:13:52,positive,membantu harga terjangkau😍
Gak jelas pengirimannya. Komplain juga gak ditanggapi. Gak ada kompensasi keterlambatan pengiriman. Dua kali telat jauh dari estimasi berhari-hari.,1,2025-01-06 17:09:58,negative,gak pengirimannya komplain gak ditanggapi gak kompensasi keterlambatan pengiriman kali telat estimasi berharihari
sangat bagus,5,2025-01-06 17:07:38,positive,bagu
HATI-HATI TOKOPEDIA RAWAN PENIPU!,1,2025-01-06 17:03:24,negative,hatihati tokopedia rawan penipu
Tokped saya tidak bisa di install padahal sudah selesai download kecewaaaaaaaaa,1,2025-01-06 17:03:12,negative,tokp instal selesai download kecewaaaaaaaaa
"biaya administrasi top up murah, dapat promo promo menarik👍 Tapi setelah pembaruan kenapa ga bisa buka ulasan ya Ulasan ini penting buat rekomendasi produk yang kita beli Tolong dong di perbaiki, biar ulasannya bisa normal lagi",5,2025-01-06 17:00:41,positive,biaya administrasi top up murah promo promo menarik👍 pembaruan ga buka ulasan ya ulasan rekomendasi produk beli tolong perbaiki biar ulasannya normal
Bagus bgt sumpil ayok beli di sini aj mura meriah,4,2025-01-06 16:59:19,positive,bagu bgt sumpil ayok beli aj mura meriah
CS nya apayah PERCUMA dikasih opsi memihak Expedisi Ujung ujungnya tidak terpakai Mau meng OFF kan ID EXPRESS tidak bisa Padahal di menu pilihan ga ada Tp sering dikasih ID EXPRESS,1,2025-01-06 16:52:56,negative,cs nya apayah dikasih opsi expedisi ujung ujungnya terpakai meng off id express menu pilihan ga tp dikasih id express
👍👍👍👍👍,5,2025-01-06 16:44:55,positive,👍👍👍👍👍
ok 🙏👍,5,2025-01-06 16:41:03,positive,ok 🙏👍
Sering2 ada diskon ya........,5,2025-01-06 16:40:24,positive,diskon ya
"sering transaksi dibatalkan sistem atau seller tanpa alasan yg jelas,pengiriman pun lama...notif diproses tapi gak dikirim2...PAYAH",1,2025-01-06 16:39:43,negative,transaksi dibatalkan sistem seller alasan yg jelaspengiriman lamanotif dipros gak dikirimpayah
"Kenapa voucher Happy Hour sekarang tidak ada, tolong di adakan lagi voucher Happy Hour nya",1,2025-01-06 16:37:00,negative,voucher happi hour tolong adakan voucher happi hour nya
"Pesanan tidak dapat dibatalkan, padahal baru transaksi beberapa menit, penjual juga belum mengatur pengiriman, mau ubah kurrir aja setengah mati, bagusan di toko oren, masih bisa cancel lalu order lagi selama penjual belum mengatur pengiriman.toko ijo ribet , harus nunggu persetujuan penjual padahal belum diatur pengirimannnya oleh penjual, dan alhasil ditolak pembatalannya. Padahal saya mau beli obat , butuhnya hari ini, malah dikirimnya regular bukan instan, padahal saya sudah klik instan slbm",1,2025-01-06 16:35:27,negative,pesanan dibatalkan transaksi menit penjual mengatur pengiriman ubah kurrir aja mati bagusan toko oren cancel order penjual mengatur pengirimantoko ijo ribet nunggu persetujuan penjual diatur pengirimannnya penjual alhasil ditolak pembatalannya beli obat butuhnya dikirimnya regular instan klik instan slbm
Terimakasih atas adanya apk ini jdi mudah buat belanja,5,2025-01-06 16:33:50,positive,terimakasih apk jdi mudah belanja
MAKIN KESINI PELAYANAN MAKIN BURUK. APALAGI TIDAK ADA SISTEM CUSTOMER SERVICE. LEBIH BAIK MENDING PAKE SHOPEE,1,2025-01-06 15:57:27,negative,kesini pelayanan buruk sistem custom servic mend pake shope
Lambat banget kurirnya sampe seminggu,1,2025-01-06 15:55:25,negative,lambat banget kurirnya samp seminggu
"Tolong perbaiki lagi pengirimannya,, sekarang tokopedia terkenal paling lama dalam pengirimannya",4,2025-01-06 15:53:10,positive,tolong perbaiki pengirimannya tokopedia terken pengirimannya
bagus,4,2025-01-06 15:39:57,positive,bagu
Mantap Dah Promo Di Tokopedia,5,2025-01-06 15:11:20,positive,mantap dah promo tokopedia
sangat membantu,5,2025-01-06 15:04:14,positive,membantu
Gimana saya Jual HP semua baik tak ada lecet malah diTerima Return 🥲🥴 Pass diBalikin HP datang LCD malah Tergores. Malah LCD lagi... Dikomplain malah tidak ada solusinya dan jawaban. Siapa yg Tanggung jawab,1,2025-01-06 15:01:58,negative,gimana jual hp lecet diterima return 🥲🥴 pass dibalikin hp lcd tergor lcd dikomplain solusinya yg tanggung
"Lah biasa ada pilihan jasa kargo, skrg kok gak ada lagi, kenapa min??? Itu salah satu dasar wajib kok dihilangin, saya belanja banyak pakai kargo, gimana sih udah tidak mendukung umkm lg ya??",1,2025-01-06 14:53:02,negative,pilihan jasa kargo skrg gak min salah dasar wajib dihilangin belanja pakai kargo gimana sih udah mendukung umkm lg ya
bagus dan mantap,5,2025-01-06 14:52:46,positive,bagu mantap
Terimakasih,5,2025-01-06 14:48:00,positive,terimakasih
Cs nya Kukang kah? Lama amat balas chat sampe sejam lebih,1,2025-01-06 14:46:01,negative,cs nya kukang kah bala chat samp sejam
Sebenarnya ok aplikasinya cmn saat unboxing video nya terlalu singkat cmn 30 detik ga bisa 2 menit kwatir blm cukup bukti unboxing paketnya,5,2025-01-06 14:39:00,positive,ok aplikasinya cmn unbox video nya singkat cmn detik ga menit kwatir blm bukti unbox paketnya
Jalek sekali,1,2025-01-06 14:28:25,negative,jalek
sangat bagus,5,2025-01-06 14:23:05,positive,bagu
Aplikasinya ribet. Barang2nya mahal,1,2025-01-06 14:11:01,negative,aplikasinya ribet barangnya mahal
"Pantes PADA PINDAH KE SHOPEE. Beli barang tanggal 2, estimasi tiba tanggal 4-6, paket nyasar estimasi jadi tanggal 8. Kompensasi ga ada, SAMPAH lah poko nya mah. SHOPEE aja ada kompensasi dapet voucher. PADA PINDAH AJA",1,2025-01-06 14:07:55,negative,pant pindah shope beli barang tanggal estimasi tanggal paket nyasar estimasi tanggal kompensasi ga sampah poko nya mah shope aja kompensasi dapet voucher pindah aja
ok,5,2025-01-06 14:01:15,positive,ok
murahnya mantul,5,2025-01-06 13:58:10,positive,murahnya mantul
ok,5,2025-01-06 13:41:02,positive,ok
good,5,2025-01-06 13:39:25,positive,good
Bisa bisanya tokopedia sedot uang di akun dana Sangat merugikan.padahal sy gak pernah daftar ke akun tokopedia,1,2025-01-06 13:26:40,negative,bisanya tokopedia sedot uang akun dana merugikanpadah sy gak daftar akun tokopedia
Notifikasi sampah Iklan aplikasi juga sampah,1,2025-01-06 13:22:11,negative,notifikasi sampah iklan aplikasi sampah
sangat bermanfaat,5,2025-01-06 13:15:31,positive,bermanfaat
oke,5,2025-01-06 12:51:28,positive,oke
mantap,4,2025-01-06 12:43:24,positive,mantap
"Aplikasi sy uninstal,sy mohon data data sy jagan di salahgunakan atw di share",4,2025-01-06 12:41:29,positive,aplikasi sy uninstalsi mohon data data sy jagan salahgunakan atw share
Aplikasi keren Gk pelit voucher diskon Mahalll,5,2025-01-06 12:40:58,positive,aplikasi keren gk pelit voucher diskon mahall
mantappp,5,2025-01-06 12:21:35,positive,mantappp
"online store paling ribet, tutup akun g bisa kembali lagi, aplikasi jgen tot",1,2025-01-06 12:12:19,negative,onlin store ribet tutup akun g aplikasi jgen tot
Ini betss sih... soalnya memo ku penuh aku mau belanja di aplikasi tok2 tp MB nya banyak... dengan apk ini saya terbantu karna sama saja,5,2025-01-06 12:09:23,positive,betss sih memo ku penuh belanja aplikasi tok tp mb nya apk terbantu karna
lbh mudah,5,2025-01-06 12:08:56,positive,lbh mudah
Toko ini penipu... Di postingan barang bagus ..pas di terima barang sda di potong. Sya pesan list ban... Yg DTG List ban sda di potong jadi kecil... Jangan belanja di sini . Buruk,1,2025-01-06 12:04:42,negative,toko penipu postingan barang bagu pa terima barang sda potong sya pesan list ban yg dtg list ban sda potong belanja buruk
bintang sudah saya ubah .untuk belanja Tokopedia ke paylater tiktok yang batal butuh waktu 7 hari untuk pengembalian dana .,5,2025-01-06 11:59:14,positive,bintang ubah belanja tokopedia paylat tiktok batal butuh pengembalian dana
ok,5,2025-01-06 11:58:57,positive,ok
memuaskan,4,2025-01-06 11:44:43,positive,memuaskan
sangat membantu,5,2025-01-06 11:43:28,positive,membantu
Mantab siip Perbanyak lagi potongan harga n bebas ongkirnya ke seluruh indonesia biar belanja tambah nyaman lagi ☺👍🏻,5,2025-01-06 11:42:25,positive,mantab siip perbanyak potongan harga n beba ongkirnya indonesia biar belanja nyaman ☺👍🏻
"Saya yakin shopee dan tiktok lebih di minati pengguna,, karna tokopaedi ini lelet bgt lemotttt kapok belanjand sini",1,2025-01-06 11:24:06,negative,shope tiktok minati pengguna karna tokopaedi lelet bgt lemotttt kapok belanjand
"Secara umum bagus, tapi penjual yang mengabaikan pesanan dari konsumen setelah pesanan dikonfirmasi hingga tidak memberikan penjelasan ke konsumen, Itu tidak bagus.",4,2025-01-06 11:18:37,positive,bagu penjual mengabaikan pesanan konsumen pesanan dikonfirmasi penjelasan konsumen bagu
Kenapa jne masih dipakai aja.. jasa kirim tertolol,1,2025-01-06 10:35:39,negative,jne dipakai aja jasa kirim tertolol
nice,5,2025-01-06 10:35:06,positive,nice
aplikasi tokopedianbeberapa hari ini kenapa sering Hank dan lemot sehingga sering telat menerima Informasi pengiriman dan pemesanan barang di Tokopedia,4,2025-01-06 10:24:42,positive,aplikasi tokopedianbeberapa hank lemot telat menerima informasi pengiriman pemesanan barang tokopedia
"banyak seller tidak amanah, orderan tidak di kirim voucher jadi ikut hilang",4,2025-01-06 10:23:19,positive,seller amanah orderan kirim voucher hilang
Sangat membantu,5,2025-01-06 10:06:56,positive,membantu
Pengiriman lama banget jangan mau belanja di toko pedia kurir yah kebayakn molor bego semua,1,2025-01-06 10:05:45,negative,pengiriman banget belanja toko pedia kurir yah kebayakn molor bego
"Paket udah melewati batas pengiriman. Pake JNE selalu lemot pengiriman. Mohon pihak tokped lebih tegas ke JNE, biar ga kalah saing dengan sebelah",1,2025-01-06 09:57:55,negative,paket udah melewati bata pengiriman pake jne lemot pengiriman mohon tokp jne biar ga kalah sa sebelah
kereeeeen,5,2025-01-06 09:49:36,positive,kereeeeen
pokok nya mantul deh,5,2025-01-06 09:48:16,positive,pokok nya mantul deh
"Coba perbaiki bug di fitur chatnya, di saya ada notifikasi chat yang ga mau hilang",2,2025-01-06 09:41:15,negative,coba perbaiki bug fitur chatnya notifikasi chat ga hilang
"Saran: TOLONG berikan notifikasi setiap ada perubahan status pesanan, misal saat pengemasan, drop off, sampai dimana, diterima.",4,2025-01-06 09:15:39,positive,saran tolong notifikasi perubahan statu pesanan pengemasan drop off dimana diterima
ok,5,2025-01-06 09:14:40,positive,ok
harganya murah barang bagus,5,2025-01-06 09:13:14,positive,harganya murah barang bagu
🙏👍,5,2025-01-06 09:06:14,positive,🙏👍
ok,5,2025-01-06 08:59:08,positive,ok
Mantap,5,2025-01-06 08:51:09,positive,mantap
Padahal udah ngundang temen + belanja juga tapi gak dapet gopay coin 😑,1,2025-01-06 08:50:21,negative,udah ngundang temen belanja gak dapet gopay coin 😑
kamu belanja? ya di toko pedia aja...!,5,2025-01-06 08:42:20,positive,belanja ya toko pedia aja
mantul,5,2025-01-06 08:30:21,positive,mantul
"Kecewa sama sapx , kurir rekomendasi Tokopedia , kinerjanya sangat2 buruk",1,2025-01-06 08:19:54,negative,kecewa sapx kurir rekomendasi tokopedia kinerjanya buruk
"Aplikasi bagus, mudah digunakan dan aman dalam bertransaksi.",5,2025-01-06 08:19:02,positive,aplikasi bagu mudah aman bertransaksi
Amazing Belanja di tokped memang lebih murah,5,2025-01-06 07:25:03,positive,amaz belanja tokp murah
"Bagus aman utk transaksi, good job",5,2025-01-06 07:21:16,positive,bagu aman utk transaksi good job
mantap....,5,2025-01-06 06:55:24,positive,mantap
pengiriman cepat,5,2025-01-06 06:55:09,positive,pengiriman cepat
Bagus tokopedia saya suka karena selalu memberi kemudahan dalam pembyran dan cepat,5,2025-01-06 06:49:05,positive,bagu tokopedia suka kemudahan pembyran cepat
Toko belanja yang recommended 🤩,5,2025-01-06 06:43:46,positive,toko belanja recommend 🤩
ok,5,2025-01-06 05:59:27,positive,ok
"Jelek, masa harga nya bukannya di diskon malah di mahalin? , udah iklannya jelek lagi, apalg pas di game, maksa bgt dah, miminny pengen banget ada yg beli di tokped. Sampe segitunya, masa pengiriman nya lama bgt sih?, mana pesanan nya g sesuai lg, dan tlong kalau ngadain iklan di aplikasi lain jangan teraku maksa beli, jangan tiba tiba pindah ke tokopedia, CAPEK ,MALES TAU GAK SIH?!!",1,2025-01-06 05:41:59,negative,jelek harga nya diskon mahalin udah iklannya jelek apalg pa game maksa bgt dah miminni pengen banget yg beli tokp samp segitunya pengiriman nya bgt sih pesanan nya g sesuai lg tlong ngadain iklan aplikasi teraku maksa beli pindah tokopedia capek male tau gak sih
ok,5,2025-01-06 05:22:41,positive,ok
"Kalau dapat diskon, sering dibatalkan dari sistemnya, alasannya karna tdk sesuai s&k. Kalau gak sesuai s&k ngapain ditawarkan ke pelanggan, sampai berhasil check out?? Belum lagi dana refund-nya malah berkurang dari yg kita bayar sebelumnya, padahal bukan kesalahan & kemauan kita buat di cancel!",1,2025-01-06 03:58:42,negative,diskon dibatalkan sistemnya alasannya karna tdk sesuai sk gak sesuai sk ngapain ditawarkan pelanggan berhasil check out dana refundnya berkurang yg bayar kesalahan kemauan cancel
"Marketplace paling ribet, mending shope",1,2025-01-06 02:15:17,negative,marketplac ribet mend shope
ok bngt,5,2025-01-06 01:55:02,positive,ok bngt
ok,5,2025-01-06 01:53:08,positive,ok
Aplikasi gak guna pencarian nya terbatas,1,2025-01-06 01:36:05,negative,aplikasi gak pencarian nya terbata
Tokped Lebih baik dari lain nya,5,2025-01-06 01:16:18,positive,tokp nya
focer sering tidak bisa di gunakan,1,2025-01-06 01:06:53,negative,focer
mantap,5,2025-01-06 00:27:34,positive,mantap
top markotop,5,2025-01-06 00:24:40,positive,top markotop
sangat membantu,5,2025-01-06 00:22:42,positive,membantu
mantap,5,2025-01-05 23:58:23,positive,mantap
Oke banget,5,2025-01-05 23:46:13,positive,oke banget
memuaskan,5,2025-01-05 23:17:12,positive,memuaskan
top,5,2025-01-05 22:54:27,positive,top
bagus pembayaran mudah.. banyak free ongkirnya,5,2025-01-05 22:36:16,positive,bagu pembayaran mudah free ongkirnya
bagus makin kesini,4,2025-01-05 22:32:17,positive,bagu kesini
"sangat memaksa pengguna untuk update aplikasi.kalau di skip,akan terus muncul ""update"".kalau kita tidak update,diarahkan keluar aplikasi.bagaimana nih?..",1,2025-01-05 21:59:28,negative,memaksa pengguna updat aplikasikalau skipakan muncul updatekalau updatediarahkan aplikasibagaimana nih
"Tokopedia ajg cancel otomatis padhl pengguna baru,mala cancel sialan tipu"" promonya Mana kaga bisa pake promo lagi cuma sekali itupun ke cancel otomatis bangke",1,2025-01-05 21:43:14,negative,tokopedia ajg cancel otomati padhl pengguna barumala cancel sialan tipu promonya kaga pake promo itupun cancel otomati bangk
Aplikasi TOKOPEDIA suami saya terkena Hack atau di kuasai orang yang tidak bertanggung jawab dan TOKOPEDIA tidak ada etikad baik untuk membatalkan atau menggagalkan transaksi transaksi yang bukan di lakukan oleh orang yang tidak bertanggung jawab👎👎👎,1,2025-01-05 21:42:10,negative,aplikasi tokopedia suami terkena hack kuasai orang bertanggung tokopedia etikad membatalkan menggagalkan transaksi transaksi lakukan orang bertanggung jawab👎👎👎
harga barang lumayan cukur murah dan banyak potongan harga dan promo,5,2025-01-05 21:32:09,positive,harga barang lumayan cukur murah potongan harga promo
Saya itu beli token listrik buat skrg juga bukan buat 2 hari lg saya isi nya...saya punya bayi...masa anak saya disuruh gelap2an dan gerah2an....operatornya ngga bisa ksh solusi..dan lama jawab nya...kalo operator nya ngga siap ganti operator ya,1,2025-01-05 21:26:46,negative,beli token listrik skrg lg isi nyasaya bayimasa anak disuruh gelapan gerahanoperatornya ngga ksh solusidan nyakalo oper nya ngga ganti oper ya
👍,5,2025-01-05 21:17:49,positive,👍
Ok,5,2025-01-05 21:10:21,positive,ok
ok,5,2025-01-05 21:05:33,positive,ok
Pengiriman lamaaa,4,2025-01-05 20:52:59,positive,pengiriman lamaaa
bagus harga murah,5,2025-01-05 20:39:33,positive,bagu harga murah
ok,5,2025-01-05 20:32:46,positive,ok
oke je,5,2025-01-05 20:24:56,positive,oke je
ok,5,2025-01-05 20:22:03,positive,ok
alhamdulillah byk bonusnya,5,2025-01-05 20:21:24,positive,alhamdulillah byk bonusnya
Barang2 murah ada dsni,5,2025-01-05 20:13:34,positive,barang murah dsni
masih oke untuk alat belanja,5,2025-01-05 20:13:20,positive,oke alat belanja
toped emang top 👍👍👍,5,2025-01-05 20:05:23,positive,tope emang top 👍👍👍
Cs tokped yang menggunakannjasa pengiriman instan via gojek banyak yg komplen. Masa kiriman express dibarengkan dengan kiriman orang lain. Yang membikin waktu kiriman lebih lama. Tolong untuk jadi pertimbangan manajemen lagi. Supaya cs ga pada pindah dari gojek.,2,2025-01-05 19:43:57,negative,cs tokp menggunakannjasa pengiriman instan via gojek yg komplen kiriman express dibarengkan kiriman orang membikin kiriman tolong pertimbangan manajemen cs ga pindah gojek
saya pengguna baru yang katanya akan mendapatkan potongan harga sampai 40rb tapi saya tidak mendapatkan potongan harga tersebut,1,2025-01-05 19:39:27,negative,pengguna potongan harga rb potongan harga
awesome,5,2025-01-05 19:35:02,positive,awesom
"baru di coba mudah mudah barangnya bagus kg kecewa saya,,,",5,2025-01-05 18:52:29,positive,coba mudah mudah barangnya bagu kg kecewa
"Sangat sulit menghubungi customer service nya, barang tidak dikirim seminggu.. minta cancel ditolak tapi barang ga dikirim.. sampah banget mendingan ke shopee.",1,2025-01-05 18:52:10,negative,sulit menghubungi custom servic nya barang dikirim seminggu cancel ditolak barang ga dikirim sampah banget mendingan shope
"aku login ke akun tokped ku pake akun email ku sendiri, namanya masih samaaaa kaya dulu, soalnya pernah belanja di tokped pake akun itu,nomernya jugaaaaa nomor aku sendiri,trs aku juga ngeliat transaksi yang nggak aku lakukan, alamat yang tercantum juga alamat orang lain,Duh, serem banget!",2,2025-01-05 18:36:19,negative,login akun tokp ku pake akun email ku namanya samaaaa kaya belanja tokp pake akun itunomernya jugaaaaa nomor sendiritr ngeliat transaksi nggak lakukan alamat tercantum alamat orang lainduh serem banget
mudah untuk segala pembayaran,5,2025-01-05 18:32:45,positive,mudah pembayaran
Tokopedia kenapa bagian diskusi di aplikasi saya ga nongol?,4,2025-01-05 18:26:10,positive,tokopedia diskusi aplikasi ga nongol
"semakin canggih sistem pembayarannya, tapi diskon nya gak semurah dulu pas awal awal",4,2025-01-05 18:15:48,positive,canggih sistem pembayarannya diskon nya gak semurah pa
"Cuma satu......... aja. Ganti nomor gak perlu dibikin ribet, kenapa harus nomor yang lama? sedangkan nomor lama sudah hangus tidak bisa dipakai, dan tidak ada opsi untuk memilih untuk dikirimkan pesan code verifikasi ke nomor yang baru",1,2025-01-05 18:10:22,negative,aja ganti nomor gak dibikin ribet nomor nomor hangu dipakai opsi memilih dikirimkan pesan code verifikasi nomor
"Kenapa menu hapus pesan inbox ga bisa ? Bikin berat aplikasi""",1,2025-01-05 17:59:31,negative,menu hapu pesan inbox ga bikin berat aplikasi
ok,5,2025-01-05 17:37:51,positive,ok
yay,5,2025-01-05 17:17:36,positive,yay
fast,5,2025-01-05 17:11:15,positive,fast
Pelayanan tokopedia gk pernah failled sih cuma mau saran aja tlong jgn recomm pake sicepat ya karna paket sering hilang dan pengiriman lama padahal sama dlm 1 kota cuma beda kecamatan aja... tlong di perhatikan ya kak kl bisa sicepat dihapus dari pilihan expedisi tokopedia rating sicepat jg sudah buruk,4,2025-01-05 17:08:26,positive,pelayanan tokopedia gk faill sih saran aja tlong jgn recomm pake sicepat ya karna paket hilang pengiriman dlm kota beda kecamatan aja tlong perhatikan ya kak kl sicepat dihapu pilihan expedisi tokopedia rate sicepat jg buruk
Very very god,5,2025-01-05 17:07:52,positive,veri veri god
ok mantappp,4,2025-01-05 17:05:45,positive,ok mantappp
"Bentar2 update, aplikasi burik gini lama2.. Disisipin game bkin berat doank aszzssuu",1,2025-01-05 16:55:06,negative,bentar updat aplikasi burik gini disisipin game bkin berat doank aszzssuu
"Uang refund lama di kembalikan, CS tokopedia care ga berguna!",1,2025-01-05 16:46:10,negative,uang refund kembalikan cs tokopedia care ga berguna
"Customer Servicenya lemot kali.... Kalian lulusan S10 kah yg kerja disitu ?? Hina kali kalau balas komplain barang..... Anjeng, lagi-lagi gk becus Tokopedia. Barang gw dicuri kurir JNE sampai sekarang gk ada tanggung jawab !!",1,2025-01-05 16:44:00,negative,custom servicenya lemot kali lulusan s kah yg kerja disitu hina kali bala komplain barang anjeng lagilagi gk becu tokopedia barang gw dicuri kurir jne gk tanggung
"Baru skrg kecewa belanja di tokopedia.tidak ada solusi dari tokopedia dan pesanan sudah dianggap selesai karna si kurir ngirim foto tempat(dan itu pun bukan tempat buyer,dan sikurir cuma foto jalan doang tanpa ada barang atau orang penerima di bukti kirim.dan saya juga ada bukti chat sama toko nya bahwa barang belum dikirim oleh toko.tp pihak bantuan tokopedia bilang barang sudah dikirim.terus buat apa bukti saya chat sama seller yg didalam nya menyatakan bahwa seller belum mengirim barang.",1,2025-01-05 16:26:31,negative,skrg kecewa belanja tokopediatidak solusi tokopedia pesanan dianggap selesai karna si kurir ngirim foto tempatdan buyerdan sikurir foto jalan doang barang orang penerima bukti kirimdan bukti chat toko nya barang dikirim tokotp bantuan tokopedia bilang barang dikirimteru bukti chat seller yg didalam nya seller mengirim barang
GABISA BATALIN PRODUK,1,2025-01-05 16:13:49,negative,gabisa batalin produk
"Allhamdulilah.. Aman & Mudah di gunakan. Mohon di tambah juga mode gelap, untuk orang yang nyaman dengan tampilan gelap 🙏",5,2025-01-05 16:00:33,positive,allhamdulilah aman mudah mohon mode gelap orang nyaman tampilan gelap 🙏
Saya kasih bintang 2 soalnya buat pengguna baru diskon/voucher saya tidak bisa dipakai bohong,2,2025-01-05 15:50:16,negative,kasih bintang pengguna diskonvouch dipakai bohong
Ini sangat penting buat belanja online murah,5,2025-01-05 15:45:44,positive,belanja onlin murah
"gk bisa cod, padahal tulisannya bisa cod nyatanya pas cek out malah gk bisa. di sambungkan dengan akun tt pun muter² tetep gk bisa",1,2025-01-05 15:40:43,negative,gk cod tulisannya cod pa cek out gk sambungkan akun tt muter² tetep gk
"buat promo yang menarik dong, bagi pengguna terbaru",5,2025-01-05 15:35:07,positive,promo menarik pengguna terbaru
